# Header: Project1::DEF 1 SMALL STEP cleaned::All data::Grain Size   11/1/2014
# 
# Points exported are triple points between 3 OIM Grains
# Misorientations are calculated from average orientations in surrounding grains
# Column 1-2: x, y [microns]
# Column 3-5: w1, w2, w3 [misorientations in degrees]
10.000000 461.880188 51.559883 33.117031 54.604923
22.500000 209.289459 57.821461 34.913589 58.348080
22.500000 477.757324 33.117031 40.652431 58.477879
27.500000 434.456055 6.356194 59.648769 54.604923
37.500000 685.603394 44.217613 58.655346 60.644779
60.000000 513.841736 40.652431 44.217613 41.696018
72.500000 197.742447 34.913589 38.202400 43.817478
82.500000 206.402710 38.202400 6.356194 37.233597
97.500000 128.460434 34.462727 57.022575 49.422413
105.000000 152.997818 57.022575 38.799843 43.817478
115.000000 1163.360718 18.031652 58.392883 52.485336
127.500000 148.667694 58.875488 37.951683 38.799843
145.000000 271.354614 37.233597 39.863651 58.807293
182.500000 59.178402 59.527260 49.422421 57.499714
197.500000 7.216878 58.525963 59.527252 33.598442
200.000000 5.773502 48.879486 58.001202 33.598442
200.000000 49.074768 58.001190 54.896015 57.499714
205.000000 352.183655 39.863651 33.886181 59.648758
227.500000 93.819412 54.896015 19.312008 58.928413
227.500000 96.706169 19.312008 53.630138 58.875504
237.500000 114.026672 53.630157 48.862278 37.951683
255.000000 409.918671 33.886181 40.907913 30.907915
260.000000 473.427185 40.907913 37.880695 41.696018
265.000000 392.598145 58.807301 40.101578 55.781773
265.000000 404.145172 40.101578 58.385357 30.907915
320.000000 1174.907715 31.880331 49.535202 52.485336
320.000000 1278.830811 49.535202 36.005955 58.392883
322.500000 512.398315 58.385357 43.371960 37.880684
337.500000 1167.690796 31.880331 53.926235 34.628788
362.500000 1150.370361 34.628788 59.471809 27.663731
402.500000 555.699585 58.798351 54.528313 43.371971
410.000000 144.337555 48.862278 31.018011 55.781773
440.000000 1183.567993 59.471809 33.597626 53.926235
542.500000 174.648453 58.722748 39.966713 31.018011
580.000000 955.514648 27.663731 58.044231 37.245686
582.500000 599.000854 41.758911 43.313904 54.528313
605.000000 170.318329 58.722748 31.018011 39.966713
642.500000 535.492371 58.798351 41.758911 47.786156
642.500000 665.396179 43.313904 46.715721 34.279034
647.500000 685.603394 46.715721 34.875874 58.655354
665.000000 759.215515 34.875874 43.679401 57.840611
667.500000 876.128967 41.599693 8.235591 37.245686
670.000000 767.875793 43.679394 58.986378 41.599693
687.500000 492.191071 59.691643 47.786156 36.897202
702.500000 483.530823 59.691643 36.897202 47.786156
725.000000 906.439819 8.235591 58.986370 53.105225
750.000000 1241.302979 33.597626 45.922733 51.339840
757.500000 1141.710083 58.044231 30.154896 41.725517
760.000000 1120.059448 53.105225 41.725529 55.507309
760.000000 1235.529541 30.154896 48.262672 51.339840
812.500000 353.627014 47.786156 58.694118 40.384235
857.500000 93.819412 46.193535 43.954876 60.025745
860.000000 150.111053 31.018011 59.238842 43.954876
867.500000 154.441193 59.238842 23.829737 58.319431
877.500000 189.082199 23.829737 40.384224 58.983379
890.000000 661.066040 34.279034 56.183445 48.614296
892.500000 163.101440 58.319431 58.983379 47.855991
937.500000 1205.218628 43.428066 31.432653 48.262672
947.500000 925.203796 55.507309 57.735283 39.135044
950.000000 1215.322266 31.432653 44.249874 59.599396
992.500000 933.864014 39.135044 37.628101 47.583233
992.500000 951.184570 57.735291 41.877563 37.628101
995.000000 955.514648 41.877556 46.447632 58.228764
997.500000 925.203796 56.183445 21.823229 58.266605
997.500000 1040.673828 46.447632 58.636799 43.428066
1000.000000 932.420593 21.823229 58.485809 47.583233
1030.000000 672.612976 58.551346 34.396877 48.614296
1072.500000 448.889801 58.694126 52.668369 58.014118
1082.500000 668.282898 57.622284 50.353367 34.396877
1092.500000 373.834290 59.923737 12.079367 58.014118
1115.000000 669.726318 50.353367 36.005535 41.110783
1120.000000 219.393082 47.855991 59.923737 26.724909
1130.000000 357.957153 12.079367 59.282528 60.407028
1132.500000 824.167419 36.005535 38.681259 58.266605
1137.500000 570.133362 52.668362 58.464970 59.282528
1142.500000 624.981628 58.551346 6.693983 57.622284
1145.000000 626.425049 6.693983 41.110783 44.508141
1165.000000 236.713593 26.724909 60.407036 48.624645
1165.000000 620.651489 44.514725 57.726017 44.508141
1175.000000 617.764771 44.514725 59.487358 42.397430
